"Author","Title","Department","Amazon.List.Price","Amazon.Sale.Price","Barnes.Noble.Price","Borders.Price","Textbooks.com.Price"
"SHEPHERD","MANAGING RECORDS","INFS",89.95,89.95,NA,89.95,NA
"NAGLE","STRATEGY & TACTICS OF PRICING","MANG",85,57.57,85,85,NA
"THACKER","COLLEGE UNRANKED","XEDUC",18.5,12.58,18.5,18.5,NA
"COBURN","LETTING GO (UPD & REV)","XEDUC",14.95,10.17,13.45,13.45,NA
"MAMET","ON DIRECTING FILM","XFILM",14,11.2,14,14,NA
"TAYLOR","ORGANIZATION OF INFORMATION","INFS",50,45,50,50,NA
"PROSE","READING LIKE A WRITER","XENGL",13.95,11.16,13.95,12.56,NA
"WILLIFORD","SCRIBNER ANTHOLOGY OF CONTEMPORARY SHORT FICTION","XENGL",20,13.6,18,20,NA
"MUNIZZO","BASIC APPRAISAL PRINCIPLES","XMANG",55,55,55,55,NA
"MUNIZZO","BASIC APPRAISAL PROCEDURES","XMANG",55,55,NA,55,NA
"PORTER","PRACTICE OF SUSTAINABLE DEVELOPMENT","XMANG",68.95,68.95,NA,68.95,NA
"POWELL (NEW LOW PRICE)","INTRO TO LEARNING & BEHAVIOR","XPSYCH",108.95,98.05,108.95,108.95,NA
"TREVINO","MANAGING BUSINESS ETHICS","XMANG",NA,58,72.14,82.4,52.5
"SCOTT","NEW RULES OF MARKETING & PR","XMANG",24.95,16.47,19.96,19.96,NA
"DALTON","PERSONAL FINANCIAL PLANNING CASES & APPLICATIONS","XMANG",NA,NA,NA,NA,NA
"DALTON (NEW LOW PRICE)","RETIREMENT PLANNING & EMPLOYEE BENEFITS FOR FINANCIAL","XMANG",NA,NA,NA,NA,NA
"FISHER","GETTING TO YES","MANG",15,10.2,13.5,13.5,NA
"BAZERMAN","NEGOTIATING RATIONALLY","MANG",16.95,11.53,16.95,16.95,NA
"STOKEY","PRIMER FOR POLICY ANALYSIS","PLCY",33.21,37.57,41.75,44.75,NA
"NIEDERMAN","WHAT NUMBERS SAY","PLCY",19,17.1,19,19,NA
"CCH","08-09 FEDERAL INCOME TAX CODE & REG","XMANG",71.5,55.95,71.5,71.5,NA
"DALTON","ESTATE PLANNING FOR FINANCIAL PLANNERS","XMANG",NA,NA,NA,NA,NA
"BITTKER","FEDERAL INCOME TAXATION : CORPORATIONS & SHAREHOLDERS","XMANG",105,105,NA,NA,NA
"GILLESPIE","GLOBAL MARKETING","XMANG",188.95,164.96,188.95,188.95,140
"BURKE","NS FEDERAL INCOME TAXATION OF CORPORATIONS & SHAREHOLDERS","XMANG",29,26.1,29,29,NA
"WEINSTOCK","PLANNING AN ESTATE : 2008 STUDENT ED","XMANG",NA,NA,NA,NA,NA
