"tweets_gID","tweets_gCr","tweets_gSN","tweets_gTxt","tweets_gSS"
"1","518488275414437888","1412452212","T__Rawww","RT @LexiRichardsonn: Maybe one day I'll be good enough for the #GDG but probably not....... @JHizzle_LBR @ItsTreDoee @VaeGoDeep","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"
"2","518487505122111490","1412452028","AllDayVae","RT @LexiRichardsonn: Maybe one day I'll be good enough for the #GDG but probably not....... @JHizzle_LBR @ItsTreDoee @VaeGoDeep","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"
"3","518483841770872832","1412451155","serenatudisco","#gdglovers #gdg 2 etti me li fa? http://t.co/IScaDa0UHE","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"
"4","518476182082572288","1412449329","brrzrr","@vinberti #gdg-9974334","<a href=\"http://janetter.net/\" rel=\"nofollow\">Janetter for Mac</a>"
"5","518464938982260736","1412446648","serenatudisco","@michelmurabito: divisi tra arancina e arancino ma uniti nel #gdg Catania e Palermo #gdglovers @rainbowbreeze http://t.co/eqlQPIUbDu","<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>"
"6","518447573821308928","1412442508","serenatudisco","Eccolo qua, in una delle migliori attività che  sia nelle sue corde #gdg #gdglovers http://t.co/fG9MahuF2b","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"
"7","518440638053101570","1412440854","6ac2thaTrap","say they hating cuz she drive a ss camaro lol what! #Gdg http://t.co/VeAOijlDZF","<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>"
"8","518438475721617408","1412440339","garotodegrife","Já passou no blog hoje? http://t.co/NDJGqzP6cC look da semana no #GDG #fashion #style #lookdodia… http://t.co/LYol3uBwbn","<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>"
"9","518421586072727553","1412436312","Nur_Sadiah","\"@mariyaulfahhh: Sama ibu manager @nur_sadiah #gdg http://t.co/ElBN9hoV5G\"","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"
"10","518421502564118529","1412436292","Nur_Sadiah","RT @mariyaulfahhh: Sama ibu manager @nur_sadiah #gdg http://t.co/SU8fTk8ygH","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"
